user_id;status_id;created_at;screen_name;text;source;display_text_width;reply_to_status_id;reply_to_user_id;reply_to_screen_name;is_quote;is_retweet;favorite_count;retweet_count;quote_count;reply_count;hashtags;symbols;urls_url;urls_t.co;urls_expanded_url;media_url;media_t.co;media_expanded_url;media_type;ext_media_url;ext_media_t.co;ext_media_expanded_url;ext_media_type;mentions_user_id;mentions_screen_name;lang;quoted_status_id;quoted_text;quoted_created_at;quoted_source;quoted_favorite_count;quoted_retweet_count;quoted_user_id;quoted_screen_name;quoted_name;quoted_followers_count;quoted_friends_count;quoted_statuses_count;quoted_location;quoted_description;quoted_verified;retweet_status_id;retweet_text;retweet_created_at
1,14E+18;1,27E+18;2020-06-16 16:38:17;flwyx;Cancelaram AS OLIMPÍADAS, mas com certeza o mundo precisa de Flamengo x Bangu pelo Carioca na quinta-feira.;Twitter for Android;NA;NA;NA;NA;FALSE;TRUE;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;242496761;indiedadepre;pt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,27E+18;Cancelaram AS OLIMPÍADAS, mas com certeza o mundo precisa de Flamengo x Bangu pelo Carioca na quinta-feira.;2020-06-16 16:08:43
2292091346;1,27E+18;2020-06-16 16:38:17;sheraprateada;Aparentemente Flamengo x Bangu jogam o carioca na quinta, sem transmissão da tv, sem torcida (por conta do corona) só pro presidente assistir.;Twitter for Android;NA;NA;NA;NA;FALSE;TRUE;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;198185057;tamujuntas;pt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,27E+18;Aparentemente Flamengo x Bangu jogam o carioca na quinta, sem transmissão da tv, sem torcida (por conta do corona) só pro presidente assistir.;2020-06-16 16:35:53
1,26E+18;1,27E+18;2020-06-16 16:38:17;algeagnos;@FSRadioBrasil Benja eu ate entendo esse flavio gomes falar esse monte de besteira mas vcs tds sabe oque vcs faz na sexta? Protestem nao falem nada do jogo ai vamos ver se e vcs que precisan do flamengo ou e o flamengo que precisa de vcs.;Twitter for Android;125;1,27E+18;2462065170;FSRadioBrasil;FALSE;FALSE;0;0;0;0;NA;NA;twitter.com/i/web/status/1…;https://t.co/Dpm42wEMcE;https://twitter.com/i/web/status/1272931513076781057;NA;NA;NA;NA;NA;NA;NA;NA;2462065170;FSRadioBrasil;pt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2759943135;1,27E+18;2020-06-16 16:38:17;_hkfreestyle;@Flamengo 🔴⚫;Twitter for Android;NA;NA;NA;NA;FALSE;TRUE;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(""3108173351"", ""59591856"")";"c(""emershowsantos"", ""Flamengo"")";und;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,27E+18;@Flamengo 🔴⚫;2020-06-16 16:37:27
2759943135;1,27E+18;2020-06-16 16:38:13;_hkfreestyle;Alô, Nação!  Hoje tem #DesafioPesTorcedor, às 19h30, na #FLATV! João Mércio enfrenta o sócio-torcedor Thiago Lobato. Não perca! O estagi aqui já preparou a 🍿! 🤪🎮🔴⚫️ #CRF https://t.co/7TYrFSAi3r;Twitter for Android;NA;NA;NA;NA;FALSE;TRUE;0;0;0;0;"c(""DesafioPesTorcedor"", ""FLATV"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;59591856;Flamengo;pt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,27E+18;Alô, Nação!  Hoje tem #DesafioPesTorcedor, às 19h30, na #FLATV! João Mércio enfrenta o sócio-torcedor Thiago Lobato. Não perca! O estagi aqui já preparou a 🍿! 🤪🎮🔴⚫️ #CRF https://t.co/7TYrFSAi3r;2020-06-16 15:36:17
1,26E+18;1,27E+18;2020-06-16 16:38:16;fabioalmeidafla;"#FSRADIOBRASIL benja fala pra esse ANAO DE JARDIM DO FLAVIO GOMES(o che guevara da barra)q o @Flamengo apenas mostrou quem é q REALMENTE MANDA NO RJ,como diz o nosso presidente""TUDO QUE SE REFERE AO @Flamengo ESSE BABACA DISCORDA,NAO E NOVIDADE NENHUMA""CHUPA FDP!!!! https://t.co/9CnjpaWwAs";Twitter for Android;140;NA;NA;NA;FALSE;FALSE;0;0;0;0;FSRADIOBRASIL;NA;twitter.com/i/web/status/1…;https://t.co/jkjpcGtex3;https://twitter.com/i/web/status/1272931510501478402;NA;NA;NA;NA;NA;NA;NA;NA;59591856;Flamengo;pt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1,22E+18;1,27E+18;2020-06-16 16:38:15;Flamengo2311;@futebol_info Porra mamãe @globoesportecom @RedeGlobo  resolve aeeeeeeeee ! @marcosbrazrio @Flamengo;Twitter for Android;86;1,27E+18;193500696;futebol_info;FALSE;FALSE;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(""193500696"", ""10842792"", ""18219976"", ""460343731"", ""59591856"")";"c(""futebol_info"", ""globoesportecom"", ""RedeGlobo"", ""marcosbrazrio"", ""Flamengo"")";pt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1,05E+18;1,27E+18;2020-06-16 16:38:15;lotuscornucopia;Flamengo x Bangú não terá público e nem passará na TV. Então me digam... PRA QUÊ?  POR QUÊ?;Twitter for iPhone;NA;NA;NA;NA;FALSE;TRUE;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;41191715;LeandroRamos;pt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,27E+18;Flamengo x Bangú não terá público e nem passará na TV. Então me digam... PRA QUÊ?  POR QUÊ?;2020-06-16 12:26:36
55070927;1,27E+18;2020-06-16 16:38:15;0o0o0o0oo0oo;@FSRadioBrasil 24 HRS BATENDO NO FLAMENGO;Twitter Web App;NA;NA;2462065170;FSRadioBrasil;FALSE;FALSE;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2462065170;FSRadioBrasil;pt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
55070927;1,27E+18;2020-06-16 16:35:12;0o0o0o0oo0oo;24HRS BATENDO NO FLAMENGO !!! @FoxSportsRadio;Twitter Web App;NA;NA;NA;NA;FALSE;FALSE;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22798141;FoxSportsRadio;pt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
